outcome,n,mean,median,q1,q3,iqr,min,max
Successful,8316,2.803270803270803,2.0,1.0,4.0,3.0,0.0,28.0
Unsuccessful,23393,2.1373915273799855,2.0,1.0,3.0,2.0,0.0,20.0
