sample,n,cross_successful,cross_unsuccessful,cross_success_rate,not_cross_successful,not_cross_unsuccessful,not_cross_success_rate,success_rate_difference,chi_square,degrees_of_freedom,p_value,cramers_v,odds_ratio_cross_vs_not
Primary,31709,3373,4531,0.42674595141700405,4943,18862,0.20764545263600084,0.2191004987810032,1472.2582423175606,1,0.0,0.21547690264338965,2.8406610017630696
Complete affiliation coverage,11863,2114,2573,0.4510347770428846,1568,5608,0.21850613154960982,0.23252864549327476,716.20056738012,1,8.971008581313984e-158,0.24570843465992287,2.938509799566931
No affiliation conflict,30480,3077,4178,0.4241212956581668,4828,18397,0.2078794402583423,0.21624185539982452,1345.730163643552,1,1.3048087020600384e-294,0.21012199334682471,2.806330443166418
Complete coverage + no conflict,11597,1942,2516,0.43562135486765363,1546,5593,0.2165569407480039,0.21906441411964972,626.2143210533432,1,3.3279418266631456e-138,0.23237460744117266,2.7923761406943814
