draft_name,document_found,recorded_group_name,recorded_group_acronym,recorded_group_type,is_recorded_wg,is_individual_submissions,filename_wg_candidates
draft-shepherd-multicast-udp-guidelines,1,Individual Submissions,none,individ,0,1,
draft-shepherd-ssm232,1,Individual Submissions,none,individ,0,1,
draft-shepler-nfsv4,1,Network File System Version 4,nfsv4,wg,1,0,nfsv4
draft-shepler-nfsv4-dirnotify,1,Individual Submissions,none,individ,0,1,nfsv4
draft-shepler-nfsv4-mib,1,Individual Submissions,none,individ,0,1,nfsv4
draft-sherbin-eia,1,Individual Submissions,none,individ,0,1,
draft-shet-opsawg-firewalls-interconn,1,Individual Submissions,none,individ,0,1,opsawg
draft-sheth-dns-integration,1,Domain Name System Operations,dnsop,wg,1,0,dns
draft-sheth-identifiers-dns,1,Individual Submissions,none,individ,0,1,dns
draft-sheth-pqc-dnssec-strategy,1,Individual Submissions,none,individ,0,1,dnssec
draft-shetho-dnsop-ds-automation,1,Domain Name System Operations,dnsop,wg,1,0,dnsop
draft-sheurich-acme-dns-persist,1,Automated Certificate Management Environment,acme,wg,1,0,acme;dns
draft-shew-lsp-restoration,1,Individual Submissions,none,individ,0,1,
draft-shi-alto-yang-json,1,Individual Submissions,none,individ,0,1,alto;json
draft-shi-alto-yang-model,1,Individual Submissions,none,individ,0,1,alto
draft-shi-cats-analysis-of-metric-distribution,1,Individual Submissions,none,individ,0,1,cats
draft-shi-cats-ipv6-based-con,1,Individual Submissions,none,individ,0,1,cats;ipv6
draft-shi-cats-with-real-locator,1,Individual Submissions,none,individ,0,1,cats
draft-shi-ccwg-advanced-ecn,1,Individual Submissions,none,individ,0,1,ccwg
draft-shi-dclc-latency-test,1,Individual Submissions,none,individ,0,1,
draft-shi-dtn-amcud,1,Individual Submissions,none,individ,0,1,dtn
draft-shi-dtnrg-amcud,1,Individual Submissions,none,individ,0,1,
draft-shi-ippm-advanced-ecn,1,Individual Submissions,none,individ,0,1,ippm
draft-shi-ippm-congestion-measurement-data,1,Individual Submissions,none,individ,0,1,ippm
draft-shi-ippm-congestion-measurement-ipv6-options,1,Individual Submissions,none,individ,0,1,ippm;ipv6
draft-shi-model-json-msg-yang,1,Individual Submissions,none,individ,0,1,json
draft-shi-moq-design-space-analysis-of-moq,1,Individual Submissions,none,individ,0,1,moq
draft-shi-moq-kvcache,1,Individual Submissions,none,individ,0,1,moq
draft-shi-netlmm-pmipv6-reliability,1,Individual Submissions,none,individ,0,1,netlmm
