lineage_id,publication_outcome,lineage_revision_count,lineage_activity_duration_years,lineage_length,wg_assignment,wg_count,author_count,organisation_count,cross_organisation,affiliation_mapped_records,affiliation_unresolved_records
draft-aboba-acct,Unknown,0,,1,Recorded WG,1,2,2,True,2,0
draft-aboba-avtcore-hevc-webrtc,Ongoing,12,2.951403148528405,2,Recorded WG,1,4,2,True,5,0
draft-aboba-avtcore-quic-multiplexing,Unsuccessful,5,2.2642026009582477,1,No recorded WG,0,3,2,True,2,1
draft-aboba-avtcore-rfc7983bis,Ongoing,2,0.7091033538672142,1,Recorded WG,1,3,2,True,2,1
draft-aboba-avtcore-sfu-rtp,Unsuccessful,1,0.0,1,No recorded WG,0,1,1,False,1,0
draft-aboba-context-802,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-aboba-dhc-domsearch,Successful,0,,1,No recorded WG,0,2,2,True,2,0
draft-aboba-dhc-mdns-conf,Unknown,0,,1,No recorded WG,0,3,1,False,3,0
draft-aboba-dhc-mini,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-aboba-dhc-nad-ipv4,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-aboba-dnsext-mdns,Unknown,0,,1,No recorded WG,0,3,1,False,3,0
draft-aboba-dynradius,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-aboba-ieee802-rel,Unknown,0,,1,No recorded WG,0,3,1,False,1,2
draft-aboba-ip-config,Unsuccessful,3,0.03559206023271732,1,No recorded WG,0,3,1,False,2,1
draft-aboba-ips-iscsi-security,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-aboba-ipsra-req,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-aboba-nat-ipsec,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-aboba-ppp,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-aboba-pppext-eap-iana,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-aboba-pppext-eap-vendor,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-aboba-pppext-eapgss,Unknown,0,,1,No recorded WG,0,2,1,False,2,0
draft-aboba-pppext-key-problem,Unknown,0,,1,No recorded WG,0,2,1,False,2,0
draft-aboba-radext-fixes,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-aboba-radext-wlan,Unsuccessful,9,3.5345653661875427,1,No recorded WG,0,4,2,True,2,2
draft-aboba-radius,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-aboba-radius-iana,Successful,0,,1,No recorded WG,0,1,1,False,1,0
draft-aboba-radius-ipv6,Successful,0,,1,No recorded WG,0,3,2,True,2,1
draft-aboba-radius-rfc2869bis,Successful,0,,1,No recorded WG,0,2,1,False,1,1
draft-aboba-roamops-adif,Unknown,0,,1,No recorded WG,0,2,1,False,1,1
draft-aboba-rpsl,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-aboba-rtcweb-ecrit,Unsuccessful,2,0.9527720739219713,1,No recorded WG,0,2,0,False,0,2
draft-aboba-rtp-http,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-aboba-rtpscale,Unknown,0,,1,Recorded WG,1,1,1,False,1,0
draft-aboba-sg-experiment,Successful,2,0.030116358658453114,1,No recorded WG,0,2,1,False,1,1
draft-aboba-unweb,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-aboba-zeroconf-multi,Unknown,0,,1,No recorded WG,0,1,1,False,1,0
draft-abondo-hmprsvp,Unknown,0,,1,No recorded WG,0,2,0,False,0,2
draft-abouabdalla-multisip,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-aboulmagd-ccamp-crldp,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-aboulmagd-ccamp-crldp-ason-ext,Successful,0,,1,No recorded WG,0,1,0,False,0,1
draft-aboulmagd-ccamp-transport-lmp,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
draft-aboulmagd-ipo-ason,Unknown,0,,1,No recorded WG,0,1,0,False,0,1
