rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,final_draft_uri,draft_uri,lineage_depth,draft_name,latest_rev,document_time,first_posted_submission,first_document_event,candidate_first_date,date_source,publication_year
/api/v1/doc/document/rfc3819/,3819,rfc3819,Advice for Internet Subnetwork Designers,2004-07-13 20:45:49+00:00,/api/v1/doc/document/draft-ietf-pilc-link-design/,/api/v1/doc/document/draft-ietf-pilc-link-design/,0,draft-ietf-pilc-link-design,15,2015-10-14 20:49:58+00:00,,1999-10-14 07:00:00+00:00,1999-10-14 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3828/,3828,rfc3828,The Lightweight User Datagram Protocol (UDP-Lite),2004-07-13 20:49:53+00:00,/api/v1/doc/document/draft-ietf-tsvwg-udp-lite/,/api/v1/doc/document/draft-ietf-tsvwg-udp-lite/,0,draft-ietf-tsvwg-udp-lite,02,2013-03-02 16:58:04+00:00,,2002-01-25 08:00:00+00:00,2002-01-25 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3839/,3839,rfc3839,MIME Type Registrations for 3rd Generation Partnership Project (3GPP) Multimedia files,2004-07-13 20:52:23+00:00,/api/v1/doc/document/draft-singer-avt-3gpp-mime/,/api/v1/doc/document/draft-singer-avt-3gpp-mime/,0,draft-singer-avt-3gpp-mime,01,2015-10-14 20:50:50+00:00,,2003-08-19 07:00:00+00:00,2003-08-19 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3821/,3821,rfc3821,Fibre Channel Over TCP/IP (FCIP),2004-07-21 23:43:31+00:00,/api/v1/doc/document/draft-ietf-ips-fcovertcpip/,/api/v1/doc/document/draft-ietf-ips-fcovertcpip/,0,draft-ietf-ips-fcovertcpip,12,2015-10-14 20:50:06+00:00,,2000-10-31 08:00:00+00:00,2000-10-31 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3822/,3822,rfc3822,Finding Fibre Channel over TCP/IP (FCIP) Entities Using Service Location Protocol version 2 (SLPv2),2004-07-21 23:46:34+00:00,/api/v1/doc/document/draft-ietf-ips-fcip-slp/,/api/v1/doc/document/draft-ietf-ips-fcip-slp/,0,draft-ietf-ips-fcip-slp,09,2020-01-21 08:25:43+00:00,,2001-08-21 07:00:00+00:00,2001-08-21 07:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3850/,3850,rfc3850,Secure/Multipurpose Internet Mail Extensions (S/MIME) Version 3.1 Certificate Handling,2004-07-21 23:48:28+00:00,/api/v1/doc/document/draft-ietf-smime-rfc2632bis/,/api/v1/doc/document/draft-ietf-smime-rfc2632bis/,0,draft-ietf-smime-rfc2632bis,07,2015-10-14 20:50:27+00:00,,2002-02-11 08:00:00+00:00,2002-02-11 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3851/,3851,rfc3851,Secure/Multipurpose Internet Mail Extensions (S/MIME) Version 3.1 Message Specification,2004-07-21 23:50:28+00:00,/api/v1/doc/document/draft-ietf-smime-rfc2633bis/,/api/v1/doc/document/draft-ietf-smime-rfc2633bis/,0,draft-ietf-smime-rfc2633bis,09,2015-10-14 20:50:27+00:00,,2002-02-11 08:00:00+00:00,2002-02-11 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3852/,3852,rfc3852,Cryptographic Message Syntax (CMS),2004-07-21 23:52:28+00:00,/api/v1/doc/document/draft-ietf-smime-rfc3369bis/,/api/v1/doc/document/draft-ietf-smime-rfc3369bis/,0,draft-ietf-smime-rfc3369bis,04,2020-01-21 08:25:46+00:00,,2004-03-16 08:00:00+00:00,2004-03-16 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3853/,3853,rfc3853,S/MIME Advanced Encryption Standard (AES) Requirement for the Session Initiation Protocol (SIP),2004-07-21 23:54:32+00:00,/api/v1/doc/document/draft-ietf-sip-smime-aes/,/api/v1/doc/document/draft-ietf-sip-smime-aes/,0,draft-ietf-sip-smime-aes,01,2015-10-14 20:50:43+00:00,,2003-02-26 08:00:00+00:00,2003-02-26 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3866/,3866,rfc3866,Language Tags and Ranges in the Lightweight Directory Access Protocol (LDAP),2004-07-21 23:55:59+00:00,/api/v1/doc/document/draft-zeilenga-ldap-rfc2596/,/api/v1/doc/document/draft-zeilenga-ldap-rfc2596/,0,draft-zeilenga-ldap-rfc2596,05,2020-01-21 08:25:47+00:00,,2001-11-14 08:00:00+00:00,2001-11-14 08:00:00+00:00,docevent,2004
/api/v1/doc/document/rfc3831/,3831,rfc3831,Transmission of IPv6 Packets over Fibre Channel,2004-07-24 00:45:39+00:00,/api/v1/doc/document/draft-ietf-imss-ipv6-over-fibre-channel/,/api/v1/doc/document/draft-desanti-ipv6-over-fibre-channel/,1,draft-desanti-ipv6-over-fibre-channel,02,2015-10-14 20:50:37+00:00,,2002-10-21 07:00:00+00:00,2002-10-21 07:00:00+00:00,docevent,2004
