rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,final_draft_uri,draft_uri,draft_name,lineage_depth,rev,submission_date,state,publication_year
/api/v1/doc/document/rfc5096/,5096,rfc5096,Mobile IPv6 Experimental Messages,2007-12-18 01:03:58+00:00,/api/v1/doc/document/draft-ietf-mip6-experimental-messages/,/api/v1/doc/document/draft-ietf-mip6-experimental-messages/,draft-ietf-mip6-experimental-messages,0,02,2007-09-24,/api/v1/name/draftsubmissionstatename/posted/,2007
/api/v1/doc/document/rfc5096/,5096,rfc5096,Mobile IPv6 Experimental Messages,2007-12-18 01:03:58+00:00,/api/v1/doc/document/draft-ietf-mip6-experimental-messages/,/api/v1/doc/document/draft-ietf-mip6-experimental-messages/,draft-ietf-mip6-experimental-messages,0,03,2007-10-05,/api/v1/name/draftsubmissionstatename/posted/,2007
/api/v1/doc/document/rfc5064/,5064,rfc5064,The Archived-At Message Header Field,2007-12-21 22:58:37+00:00,/api/v1/doc/document/draft-duerst-archived-at/,/api/v1/doc/document/draft-duerst-archived-at/,draft-duerst-archived-at,0,07,2007-07-07,/api/v1/name/draftsubmissionstatename/posted/,2007
/api/v1/doc/document/rfc5064/,5064,rfc5064,The Archived-At Message Header Field,2007-12-21 22:58:37+00:00,/api/v1/doc/document/draft-duerst-archived-at/,/api/v1/doc/document/draft-duerst-archived-at/,draft-duerst-archived-at,0,08,2007-08-20,/api/v1/name/draftsubmissionstatename/posted/,2007
/api/v1/doc/document/rfc5064/,5064,rfc5064,The Archived-At Message Header Field,2007-12-21 22:58:37+00:00,/api/v1/doc/document/draft-duerst-archived-at/,/api/v1/doc/document/draft-duerst-archived-at/,draft-duerst-archived-at,0,09,2007-08-20,/api/v1/name/draftsubmissionstatename/posted/,2007
/api/v1/doc/document/rfc5085/,5085,rfc5085,Pseudowire Virtual Circuit Connectivity Verification (VCCV): A Control Channel for Pseudowires,2007-12-21 22:58:46+00:00,/api/v1/doc/document/draft-ietf-pwe3-vccv/,/api/v1/doc/document/draft-ietf-pwe3-vccv/,draft-ietf-pwe3-vccv,0,15,2007-09-21,/api/v1/name/draftsubmissionstatename/posted/,2007
/api/v1/doc/document/rfc5133/,5133,rfc5133,Terminal Endpoint Identifier (TEI) Query Request Number Change,2007-12-21 22:59:20+00:00,/api/v1/doc/document/draft-ietf-sigtran-rfc4233update/,/api/v1/doc/document/draft-ietf-sigtran-rfc4233update/,draft-ietf-sigtran-rfc4233update,0,02,2007-11-03,/api/v1/name/draftsubmissionstatename/posted/,2007
/api/v1/doc/document/rfc5039/,5039,rfc5039,The Session Initiation Protocol (SIP) and Spam,2008-01-05 00:06:11+00:00,/api/v1/doc/document/draft-ietf-sipping-spam/,/api/v1/doc/document/draft-ietf-sipping-spam/,draft-ietf-sipping-spam,0,05,2007-07-08,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5111/,5111,rfc5111,Experiment in Exploratory Group Formation within the Internet Engineering Task Force (IETF),2008-01-10 01:20:18+00:00,/api/v1/doc/document/draft-aboba-sg-experiment/,/api/v1/doc/document/draft-aboba-sg-experiment/,draft-aboba-sg-experiment,0,03,2007-10-11,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5111/,5111,rfc5111,Experiment in Exploratory Group Formation within the Internet Engineering Task Force (IETF),2008-01-10 01:20:18+00:00,/api/v1/doc/document/draft-aboba-sg-experiment/,/api/v1/doc/document/draft-aboba-sg-experiment/,draft-aboba-sg-experiment,0,04,2007-10-22,/api/v1/name/draftsubmissionstatename/posted/,2008
