resource_uri,rfc_number,rfc_name,title,pages,words,stream,group_uri,publication_time,group_acronym,group_name,group_type,parent_group_uri,parent_acronym,parent_name,parent_type,publication_year,stream_slug,group_type_slug,parent_type_slug,raw_area,area_category
/api/v1/doc/document/rfc3878/,3878,rfc3878,Alarm Reporting Control Management Information Base (MIB),16,4005.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/977/,2004-09-28 22:55:24+00:00,disman,Distributed Management,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1193/,ops,Operations and Management Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,ops,ops
/api/v1/doc/document/rfc3891/,3891,rfc3891,"The Session Initiation Protocol (SIP) ""Replaces"" Header",16,4607.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1462/,2004-09-28 22:57:26+00:00,sip,Session Initiation Protocol,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1683/,rai,Real-time Applications and Infrastructure Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,rai,rai
/api/v1/doc/document/rfc3892/,3892,rfc3892,The Session Initiation Protocol (SIP) Referred-By Mechanism,25,5939.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1462/,2004-09-28 23:01:14+00:00,sip,Session Initiation Protocol,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1683/,rai,Real-time Applications and Infrastructure Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,rai,rai
/api/v1/doc/document/rfc3893/,3893,rfc3893,Session Initiation Protocol (SIP) Authenticated Identity Body (AIB) Format,13,4083.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1462/,2004-09-28 23:01:25+00:00,sip,Session Initiation Protocol,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1683/,rai,Real-time Applications and Infrastructure Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,rai,rai
/api/v1/doc/document/rfc3904/,3904,rfc3904,Evaluation of IPv6 Transition Mechanisms for Unmanaged Networks,19,6416.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1578/,2004-09-28 23:04:44+00:00,v6ops,IPv6 Operations,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1193/,ops,Operations and Management Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,ops,ops
/api/v1/doc/document/rfc3913/,3913,rfc3913,Border Gateway Multicast Protocol (BGMP): Protocol Specification,41,13945.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1456/,2004-09-28 23:05:38+00:00,bgmp,Border Gateway Multicast Protocol,/api/v1/name/grouptypename/wg/,/api/v1/group/group/1249/,rtg,Routing Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,rtg,rtg
/api/v1/doc/document/rfc3885/,3885,rfc3885,SMTP Service Extension for Message Tracking,9,2310.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1372/,2004-09-29 23:21:47+00:00,msgtrk,Message Tracking Protocol,/api/v1/name/grouptypename/wg/,/api/v1/group/group/934/,app,Applications Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,app,app
/api/v1/doc/document/rfc3886/,3886,rfc3886,An Extensible Message Format for Message Tracking Responses,11,2690.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1372/,2004-09-29 23:21:50+00:00,msgtrk,Message Tracking Protocol,/api/v1/name/grouptypename/wg/,/api/v1/group/group/934/,app,Applications Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,app,app
/api/v1/doc/document/rfc3887/,3887,rfc3887,Message Tracking Query Protocol,23,5605.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1372/,2004-09-29 23:21:52+00:00,msgtrk,Message Tracking Protocol,/api/v1/name/grouptypename/wg/,/api/v1/group/group/934/,app,Applications Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,app,app
/api/v1/doc/document/rfc3888/,3888,rfc3888,Message Tracking Model and Requirements,11,2790.0,/api/v1/name/streamname/ietf/,/api/v1/group/group/1372/,2004-09-29 23:21:55+00:00,msgtrk,Message Tracking Protocol,/api/v1/name/grouptypename/wg/,/api/v1/group/group/934/,app,Applications Area,/api/v1/name/grouptypename/area/,2004,ietf,wg,area,app,app
