publication_year,rfc_count,minimum,q1,median,q3,maximum,mean
2001,184.0,21.0,227.0,468.5,708.5,1971.0,523.0923913043479
2002,213.0,39.0,394.0,658.0,918.0,2155.0,682.1361502347418
2003,229.0,125.0,440.0,750.0,988.0,3148.0,792.0524017467249
2004,280.0,48.0,472.5,725.0,1139.25,3054.0,852.7821428571428
2005,326.0,116.0,514.0,889.5,1382.75,3259.0,980.6533742331288
2006,458.0,97.0,528.25,898.0,1445.5,3865.0,1052.0698689956332
2007,311.0,83.0,587.0,916.0,1439.0,3644.0,1074.6495176848875
2008,156.0,43.0,743.75,1021.0,1374.25,3442.0,1166.198717948718
2009,93.0,100.0,855.0,1094.0,1546.0,3701.0,1244.763440860215
2010,100.0,104.0,800.75,1338.0,1551.0,3498.0,1309.24
2011,51.0,200.0,1081.5,1890.0,2216.0,3554.0,1704.4117647058824
2012,24.0,174.0,1468.25,2220.0,2450.75,3555.0,1986.875
2013,8.0,1133.0,1759.5,2390.0,2946.75,4236.0,2454.25
2014,11.0,1308.0,2534.5,2795.0,2898.5,3656.0,2686.5454545454545
2015,4.0,1617.0,2400.0,2913.5,3455.75,4325.0,2942.25
2016,4.0,2694.0,3423.75,3755.5,4173.5,5162.0,3841.75
2017,5.0,2448.0,3668.0,3712.0,4082.0,4345.0,3651.0
2018,1.0,7123.0,7123.0,7123.0,7123.0,7123.0,7123.0
2019,,,,,,,
2020,,,,,,,
2021,,,,,,,
2022,,,,,,,
2023,,,,,,,
2024,,,,,,,
2025,,,,,,,
