publication_year,Cisco,Huawei,Ericsson,Juniper,Nokia,Microsoft,Google,Alcatel,Oracle,AT&T,Academia,Other
2001,13.055555555555557,0.0,1.9444444444444444,2.5,1.6666666666666667,2.5,0.0,0.2777777777777778,2.5,0.5555555555555556,3.888888888888889,71.11111111111111
2002,9.782608695652174,0.0,4.619565217391304,0.5434782608695652,3.532608695652174,3.260869565217391,0.0,1.358695652173913,1.6304347826086956,3.804347826086957,5.434782608695652,66.03260869565217
2003,11.688311688311687,0.0,3.896103896103896,2.0779220779220777,2.857142857142857,2.857142857142857,0.0,0.2597402597402597,2.857142857142857,2.5974025974025974,5.194805194805195,65.71428571428571
2004,11.702127659574469,0.0,3.723404255319149,0.5319148936170213,3.9893617021276597,2.6595744680851063,0.0,0.7978723404255319,2.393617021276596,0.7978723404255319,6.117021276595745,67.2872340425532
2005,10.504201680672269,0.0,3.361344537815126,0.8403361344537815,3.1512605042016806,3.571428571428571,0.0,1.4705882352941175,1.050420168067227,2.3109243697478994,6.932773109243698,66.80672268907563
2006,15.37190082644628,0.3305785123966942,3.9669421487603307,1.8181818181818181,3.4710743801652892,2.809917355371901,0.3305785123966942,1.1570247933884297,1.6528925619834711,1.9834710743801653,4.628099173553719,62.47933884297521
2007,15.417558886509635,0.21413276231263384,4.496788008565311,2.355460385438972,2.7837259100642395,2.355460385438972,0.8565310492505354,1.9271948608137044,0.8565310492505354,1.070663811563169,5.353319057815846,62.31263383297645
2008,13.704496788008566,1.070663811563169,2.9978586723768736,2.141327623126338,4.925053533190578,2.569593147751606,0.4282655246252677,1.284796573875803,1.070663811563169,1.284796573875803,6.638115631691649,61.88436830835118
2009,13.88888888888889,2.564102564102564,3.418803418803419,1.7094017094017095,2.3504273504273505,0.641025641025641,1.4957264957264957,2.1367521367521367,1.282051282051282,1.7094017094017095,10.683760683760683,58.119658119658126
2010,11.76470588235294,2.8520499108734403,4.27807486631016,1.9607843137254901,3.0303030303030303,1.6042780748663104,1.2477718360071302,3.2085561497326207,0.7130124777183601,1.4260249554367201,8.19964349376114,59.71479500891266
2011,14.832535885167463,3.827751196172249,4.944178628389154,2.711323763955343,2.3923444976076556,0.7974481658692184,2.3923444976076556,3.508771929824561,0.3189792663476874,1.1164274322169059,7.496012759170653,55.661881977671456
2012,14.954954954954955,5.585585585585585,3.783783783783784,2.7027027027027026,3.2432432432432434,1.6216216216216217,1.8018018018018018,3.063063063063063,0.9009009009009009,1.8018018018018018,8.288288288288289,52.25225225225225
2013,16.173570019723865,5.9171597633136095,2.9585798816568047,2.9585798816568047,1.3806706114398422,0.9861932938856016,2.366863905325444,1.7751479289940828,1.3806706114398422,1.3806706114398422,7.100591715976331,55.62130177514793
2014,13.575525812619501,7.839388145315487,4.2065009560229445,1.5296367112810707,1.5296367112810707,1.9120458891013385,2.294455066921606,2.1032504780114722,0.19120458891013384,0.7648183556405354,7.265774378585086,56.787762906309744
2015,14.130434782608695,6.702898550724639,5.072463768115942,3.260869565217391,0.5434782608695652,1.8115942028985508,2.717391304347826,0.7246376811594203,1.4492753623188406,1.8115942028985508,7.971014492753622,53.80434782608695
2016,13.884297520661157,7.2727272727272725,4.297520661157025,2.809917355371901,1.8181818181818181,0.9917355371900827,3.6363636363636362,0.1652892561983471,1.487603305785124,0.3305785123966942,8.264462809917356,55.04132231404959
2017,12.07920792079208,7.128712871287128,3.564356435643564,4.356435643564356,2.376237623762376,2.376237623762376,1.3861386138613863,0.19801980198019803,1.188118811881188,0.594059405940594,7.524752475247524,57.227722772277225
2018,10.722610722610723,9.557109557109557,2.564102564102564,4.195804195804196,2.097902097902098,1.3986013986013985,4.662004662004662,0.0,0.6993006993006993,1.1655011655011656,9.090909090909092,53.84615384615385
2019,13.866666666666665,8.533333333333333,4.266666666666667,5.6000000000000005,2.4,1.0666666666666667,2.1333333333333333,0.0,1.6,1.0666666666666667,8.799999999999999,50.66666666666667
2020,11.778290993071593,6.928406466512701,3.233256351039261,3.4642032332563506,1.6166281755196306,0.6928406466512702,3.695150115473441,0.23094688221709006,0.4618937644341801,1.1547344110854503,9.468822170900692,57.27482678983834
2021,8.986175115207374,8.525345622119817,4.838709677419355,3.225806451612903,2.0737327188940093,0.6912442396313364,4.6082949308755765,0.2304147465437788,0.4608294930875576,1.6129032258064515,9.90783410138249,54.83870967741935
2022,8.333333333333332,8.072916666666668,4.6875,1.5625,3.125,1.0416666666666665,4.166666666666666,0.0,0.26041666666666663,0.5208333333333333,8.59375,59.635416666666664
2023,8.465608465608465,5.82010582010582,2.6455026455026456,2.91005291005291,3.1746031746031744,1.3227513227513228,1.8518518518518516,0.0,0.0,0.0,10.846560846560847,62.96296296296296
2024,5.94900849858357,7.365439093484419,3.6827195467422094,3.39943342776204,2.8328611898017,0.28328611898017,4.815864022662889,0.0,0.28328611898017,0.56657223796034,9.34844192634561,61.47308781869688
2025,9.024390243902438,6.829268292682928,2.195121951219512,6.341463414634147,2.682926829268293,0.24390243902439024,5.853658536585367,0.0,0.24390243902439024,0.4878048780487805,8.536585365853659,57.56097560975609
