rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,first_recorded_draft_date,family_draft_count,maximum_lineage_depth,days_to_publication
/api/v1/doc/document/rfc4636/,4636,rfc4636,Foreign Agent Error Extension for Mobile IPv4,2006-10-10 23:24:20+00:00,2006,/api/v1/doc/document/draft-ietf-mip4-faerr/,2005-07-05 07:00:01+00:00,1,0,462
/api/v1/doc/document/rfc4638/,4638,rfc4638,Accommodating a Maximum Transit Unit/Maximum Receive Unit (MTU/MRU) Greater Than 1492 in the Point-to-Point Protocol over Ethernet (PPPoE),2006-09-13 21:12:22+00:00,2006,/api/v1/doc/document/draft-arberg-pppoe-mtu-gt1492/,2005-04-29 07:00:00+00:00,1,0,502
/api/v1/doc/document/rfc4639/,4639,rfc4639,Cable Device Management Information Base for Data-Over-Cable Service Interface Specification (DOCSIS) Compliant Cable Modems and Cable Modem Termination Systems,2006-12-22 21:56:29+00:00,2006,/api/v1/doc/document/draft-ietf-ipcdn-device-mibv2/,2000-07-20 07:00:00+00:00,1,0,2346
/api/v1/doc/document/rfc4640/,4640,rfc4640,Problem Statement for bootstrapping Mobile IPv6 (MIPv6),2006-09-22 21:48:40+00:00,2006,/api/v1/doc/document/draft-ietf-mip6-bootstrap-ps/,2004-07-13 07:00:00+00:00,1,0,801
/api/v1/doc/document/rfc4641/,4641,rfc4641,DNSSEC Operational Practices,2006-09-14 22:53:55+00:00,2006,/api/v1/doc/document/draft-ietf-dnsop-dnssec-operational-practices/,2003-10-23 07:00:00+00:00,1,0,1057
/api/v1/doc/document/rfc4642/,4642,rfc4642,Using Transport Layer Security (TLS) with Network News Transfer Protocol (NNTP),2006-10-26 02:07:16+00:00,2006,/api/v1/doc/document/draft-ietf-nntpext-tls-nntp/,2003-02-28 08:00:00+00:00,1,0,1335
/api/v1/doc/document/rfc4643/,4643,rfc4643,Network News Transfer Protocol (NNTP) Extension for Authentication,2006-10-26 02:07:03+00:00,2006,/api/v1/doc/document/draft-ietf-nntpext-authinfo/,2004-04-30 07:00:00+00:00,1,0,908
/api/v1/doc/document/rfc4644/,4644,rfc4644,Network News Transfer Protocol (NNTP) Extension for Streaming Feeds,2006-10-26 02:06:39+00:00,2006,/api/v1/doc/document/draft-ietf-nntpext-streaming/,2003-06-03 07:00:00+00:00,1,0,1240
/api/v1/doc/document/rfc4645/,4645,rfc4645,Initial Language Subtag Registry,2006-09-08 22:44:39+00:00,2006,/api/v1/doc/document/draft-ietf-ltru-initial/,2005-06-21 07:00:00+00:00,1,0,444
/api/v1/doc/document/rfc4646/,4646,rfc4646,Tags for Identifying Languages,2006-09-08 22:44:55+00:00,2006,/api/v1/doc/document/draft-ietf-ltru-registry/,2005-03-16 08:00:00+00:00,1,0,541
/api/v1/doc/document/rfc4647/,4647,rfc4647,Matching of Language Tags,2006-09-08 22:45:17+00:00,2006,/api/v1/doc/document/draft-ietf-ltru-matching/,2005-05-17 07:00:00+00:00,1,0,479
