rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,draft_uri,draft_name,draft_title,latest_rev,document_time,first_submission,chain_depth,selected_edge_score,is_final_draft
/api/v1/doc/document/rfc6818/,6818,rfc6818,Updates to the Internet X.509 Public Key Infrastructure Certificate and Certificate Revocation List (CRL) Profile,2013-01-15 08:28:31+00:00,2013,/api/v1/doc/document/draft-ietf-pkix-rfc5280-clarifications/,/api/v1/doc/document/draft-ietf-pkix-rfc5280-clarifications/,draft-ietf-pkix-rfc5280-clarifications,Updates to the Internet X.509 Public Key Infrastructure Certificate and Certificate Revocation List (CRL) Profile,11,2015-10-14 20:52:19+00:00,2010-04-12 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6825/,6825,rfc6825,Traffic Engineering Database Management Information Base in Support of MPLS-TE/GMPLS,2013-01-15 08:28:32+00:00,2013,/api/v1/doc/document/draft-ietf-ccamp-gmpls-ted-mib/,/api/v1/doc/document/draft-ietf-ccamp-gmpls-ted-mib/,draft-ietf-ccamp-gmpls-ted-mib,Traffic Engineering Database Management Information Base in Support of MPLS-TE/GMPLS,15,2015-10-14 20:51:29+00:00,2011-07-11 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6825/,6825,rfc6825,Traffic Engineering Database Management Information Base in Support of MPLS-TE/GMPLS,2013-01-15 08:28:32+00:00,2013,/api/v1/doc/document/draft-ietf-ccamp-gmpls-ted-mib/,/api/v1/doc/document/draft-ietf-ccamp-gmpls-ospf-mib/,draft-ietf-ccamp-gmpls-ospf-mib,Traffic Engineering Database Management Information Base in support of GMPLS,01,2006-11-13 08:00:00+00:00,,1,0.8904629629629629,False
/api/v1/doc/document/rfc6825/,6825,rfc6825,Traffic Engineering Database Management Information Base in Support of MPLS-TE/GMPLS,2013-01-15 08:28:32+00:00,2013,/api/v1/doc/document/draft-ietf-ccamp-gmpls-ted-mib/,/api/v1/doc/document/draft-otani-ccamp-gmpls-ospf-mib/,draft-otani-ccamp-gmpls-ospf-mib,Extensions to the OSPF Management Information Base in support of GMPLS,02,2006-04-26 07:00:00+00:00,,2,0.8010878323932312,False
/api/v1/doc/document/rfc6826/,6826,rfc6826,Multipoint LDP In-Band Signaling for Point-to-Multipoint and Multipoint-to-Multipoint Label Switched Paths,2013-01-15 08:28:33+00:00,2013,/api/v1/doc/document/draft-ietf-mpls-mldp-in-band-signaling/,/api/v1/doc/document/draft-ietf-mpls-mldp-in-band-signaling/,draft-ietf-mpls-mldp-in-band-signaling,Multipoint LDP In-Band Signaling for Point-to-Multipoint and Multipoint-to-Multipoint Label Switched Paths,08,2015-10-14 20:52:07+00:00,2010-01-18 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6826/,6826,rfc6826,Multipoint LDP In-Band Signaling for Point-to-Multipoint and Multipoint-to-Multipoint Label Switched Paths,2013-01-15 08:28:33+00:00,2013,/api/v1/doc/document/draft-ietf-mpls-mldp-in-band-signaling/,/api/v1/doc/document/draft-wijnands-mpls-mldp-in-band-signaling/,draft-wijnands-mpls-mldp-in-band-signaling,mLDP based in-band signaling for Point-to-Multipoint and Multipoint-to- Multipoint Label Switched Paths,02,2009-10-24 07:00:00+00:00,2009-04-23 00:00:00+00:00,1,0.8898744113029827,False
/api/v1/doc/document/rfc6843/,6843,rfc6843,RTP Control Protocol (RTCP) Extended Report (XR) Block for Delay Metric Reporting,2013-01-15 08:28:33+00:00,2013,/api/v1/doc/document/draft-ietf-xrblock-rtcp-xr-delay/,/api/v1/doc/document/draft-ietf-xrblock-rtcp-xr-delay/,draft-ietf-xrblock-rtcp-xr-delay,RTP Control Protocol (RTCP) Extended Report (XR) Block for Delay Metric Reporting,12,2015-10-14 20:52:35+00:00,2011-10-16 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6845/,6845,rfc6845,OSPF Hybrid Broadcast and Point-to-Multipoint Interface Type,2013-01-15 08:28:33+00:00,2013,/api/v1/doc/document/draft-ietf-ospf-hybrid-bcast-and-p2mp/,/api/v1/doc/document/draft-ietf-ospf-hybrid-bcast-and-p2mp/,draft-ietf-ospf-hybrid-bcast-and-p2mp,OSPF Hybrid Broadcast and Point-to-Multipoint Interface Type,06,2018-12-20 08:27:01+00:00,2011-10-05 00:00:00+00:00,0,,True
/api/v1/doc/document/rfc6845/,6845,rfc6845,OSPF Hybrid Broadcast and Point-to-Multipoint Interface Type,2013-01-15 08:28:33+00:00,2013,/api/v1/doc/document/draft-ietf-ospf-hybrid-bcast-and-p2mp/,/api/v1/doc/document/draft-nsheth-ospf-hybrid-bcast-and-p2mp/,draft-nsheth-ospf-hybrid-bcast-and-p2mp,OSPF Hybrid Broadcast and P2MP Interface Type,01,2012-07-05 14:38:11+00:00,2010-01-17 00:00:00+00:00,1,0.8505471124620061,False
/api/v1/doc/document/rfc6848/,6848,rfc6848,Specifying Civic Address Extensions in the Presence Information Data Format Location Object (PIDF-LO),2013-01-15 08:28:34+00:00,2013,/api/v1/doc/document/draft-ietf-geopriv-local-civic/,/api/v1/doc/document/draft-ietf-geopriv-local-civic/,draft-ietf-geopriv-local-civic,Specifying Civic Address Extensions in the Presence Information Data Format Location Object (PIDF-LO),10,2015-10-14 20:52:16+00:00,2011-03-06 00:00:00+00:00,0,,True
