rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,family_draft_count,maximum_lineage_depth,complete_revision_count,final_draft_revision_count,predecessor_draft_count,predecessor_revision_count
/api/v1/doc/document/rfc3343/,3343,rfc3343,The Application Exchange (APEX) Presence Service,2003-05-01 19:23:06+00:00,2003,/api/v1/doc/document/draft-ietf-apex-presence/,1,0,7,7,0,0
/api/v1/doc/document/rfc3352/,3352,rfc3352,Connection-less Lightweight Directory Access Protocol (CLDAP) to Historic Status,2003-03-05 23:39:24+00:00,2003,/api/v1/doc/document/draft-zeilenga-cldap/,1,0,3,3,0,0
/api/v1/doc/document/rfc3435/,3435,rfc3435,Media Gateway Control Protocol (MGCP) Version 1.0,2003-01-15 00:00:56+00:00,2003,/api/v1/doc/document/draft-andreasen-mgcp-rfc2705bis/,1,0,6,6,0,0
/api/v1/doc/document/rfc3437/,3437,rfc3437,Layer-Two Tunneling Protocol Extensions for PPP Link Control Protocol Negotiation,2003-01-02 17:36:55+00:00,2003,/api/v1/doc/document/draft-ietf-l2tpext-link/,1,0,8,8,0,0
/api/v1/doc/document/rfc3440/,3440,rfc3440,Definitions of Extension Managed Objects for Asymmetric Digital Subscriber Lines,2003-01-02 17:39:19+00:00,2003,/api/v1/doc/document/draft-ietf-adslmib-adslext/,1,0,13,13,0,0
/api/v1/doc/document/rfc3441/,3441,rfc3441,Asynchronous Transfer Mode (ATM) Package for the Media Gateway Control Protocol (MGCP),2003-01-15 00:02:39+00:00,2003,/api/v1/doc/document/draft-rajeshkumar-mgcp-atm-package/,1,0,8,8,0,0
/api/v1/doc/document/rfc3443/,3443,rfc3443,Time To Live (TTL) Processing in Multi-Protocol Label Switching (MPLS) Networks,2003-01-17 17:54:38+00:00,2003,/api/v1/doc/document/draft-ietf-mpls-ttl/,2,1,7,5,1,2
/api/v1/doc/document/rfc3444/,3444,rfc3444,On the Difference between Information Models and Data Models,2003-01-17 17:51:52+00:00,2003,/api/v1/doc/document/draft-irtf-nmrg-im-dm/,1,0,3,3,0,0
/api/v1/doc/document/rfc3446/,3446,rfc3446,Anycast Rendevous Point (RP) mechanism using Protocol Independent Multicast (PIM) and Multicast Source Discovery Protocol (MSDP),2003-01-29 18:29:19+00:00,2003,/api/v1/doc/document/draft-ietf-mboned-anycast-rp/,1,0,9,9,0,0
/api/v1/doc/document/rfc3447/,3447,rfc3447,Public-Key Cryptography Standards (PKCS) #1: RSA Cryptography Specifications Version 2.1,2003-02-06 17:58:42+00:00,2003,/api/v1/doc/document/draft-jonsson-pkcs1-v2dot1/,1,0,1,1,0,0
/api/v1/doc/document/rfc3448/,3448,rfc3448,TCP Friendly Rate Control (TFRC): Protocol Specification,2003-01-27 20:13:04+00:00,2003,/api/v1/doc/document/draft-ietf-tsvwg-tfrc/,1,0,6,6,0,0
/api/v1/doc/document/rfc3454/,3454,rfc3454,"Preparation of Internationalized Strings (""stringprep"")",2003-01-02 17:42:09+00:00,2003,/api/v1/doc/document/draft-hoffman-stringprep/,1,0,8,8,0,0
/api/v1/doc/document/rfc3455/,3455,rfc3455,Private Header (P-Header) Extensions to the Session Initiation Protocol (SIP) for the 3rd-Generation Partnership Project (3GPP),2003-01-13 17:57:20+00:00,2003,/api/v1/doc/document/draft-garcia-sipping-3gpp-p-headers/,1,0,3,3,0,0
/api/v1/doc/document/rfc3456/,3456,rfc3456,Dynamic Host Configuration Protocol (DHCPv4) Configuration of IPsec Tunnel Mode,2003-01-31 22:45:30+00:00,2003,/api/v1/doc/document/draft-ietf-ipsec-dhcp/,1,0,13,13,0,0
/api/v1/doc/document/rfc3457/,3457,rfc3457,Requirements for IPsec Remote Access Scenarios,2003-01-31 22:48:08+00:00,2003,/api/v1/doc/document/draft-ietf-ipsra-reqmts/,1,0,5,5,0,0
/api/v1/doc/document/rfc3458/,3458,rfc3458,Message Context for Internet Mail,2003-01-30 18:25:16+00:00,2003,/api/v1/doc/document/draft-ietf-vpim-hint/,1,0,9,9,0,0
/api/v1/doc/document/rfc3459/,3459,rfc3459,Critical Content Multi-purpose Internet Mail Extensions (MIME) Parameter,2003-01-30 18:28:47+00:00,2003,/api/v1/doc/document/draft-ietf-vpim-cc/,1,0,9,9,0,0
/api/v1/doc/document/rfc3460/,3460,rfc3460,Policy Core Information Model (PCIM) Extensions,2003-01-17 17:56:52+00:00,2003,/api/v1/doc/document/draft-ietf-policy-pcim-ext/,1,0,9,9,0,0
/api/v1/doc/document/rfc3461/,3461,rfc3461,Simple Mail Transfer Protocol (SMTP) Service Extension for Delivery Status Notifications (DSNs),2003-01-23 17:31:37+00:00,2003,/api/v1/doc/document/draft-moore-rfc1891bis/,1,0,3,3,0,0
/api/v1/doc/document/rfc3462/,3462,rfc3462,The Multipart/Report Content Type for the Reporting of Mail System Administrative Messages,2003-01-23 17:34:53+00:00,2003,/api/v1/doc/document/draft-vaudreuil-1892bis/,1,0,3,3,0,0
/api/v1/doc/document/rfc3463/,3463,rfc3463,Enhanced Mail System Status Codes,2003-01-23 17:40:20+00:00,2003,/api/v1/doc/document/draft-vaudreuil-1893bis/,1,0,4,4,0,0
/api/v1/doc/document/rfc3464/,3464,rfc3464,An Extensible Message Format for Delivery Status Notifications,2003-01-23 17:42:08+00:00,2003,/api/v1/doc/document/draft-vaudreuil-1894bis/,1,0,3,3,0,0
/api/v1/doc/document/rfc3465/,3465,rfc3465,TCP Congestion Control with Appropriate Byte Counting (ABC),2003-02-06 17:53:38+00:00,2003,/api/v1/doc/document/draft-allman-tcp-abc/,1,0,5,5,0,0
/api/v1/doc/document/rfc3466/,3466,rfc3466,A Model for Content Internetworking (CDI),2003-03-04 23:46:58+00:00,2003,/api/v1/doc/document/draft-ietf-cdi-model/,1,0,3,3,0,0
/api/v1/doc/document/rfc3467/,3467,rfc3467,Role of the Domain Name System (DNS),2003-03-04 20:44:11+00:00,2003,/api/v1/doc/document/draft-klensin-dns-role/,1,0,6,6,0,0
/api/v1/doc/document/rfc3468/,3468,rfc3468,The Multiprotocol Label Switching (MPLS) Working Group decision on MPLS signaling protocols,2003-02-25 23:11:04+00:00,2003,/api/v1/doc/document/draft-andersson-mpls-sig-decision/,1,0,4,4,0,0
/api/v1/doc/document/rfc3469/,3469,rfc3469,Framework for Multi-Protocol Label Switching (MPLS)-based Recovery,2003-02-19 00:46:54+00:00,2003,/api/v1/doc/document/draft-ietf-mpls-recovery-frmwrk/,1,0,9,9,0,0
/api/v1/doc/document/rfc3470/,3470,rfc3470,Guidelines for the Use of Extensible Markup Language (XML) within IETF Protocols,2003-01-24 19:36:40+00:00,2003,/api/v1/doc/document/draft-hollenbeck-ietf-xml-guidelines/,1,0,8,8,0,0
/api/v1/doc/document/rfc3471/,3471,rfc3471,Generalized Multi-Protocol Label Switching (GMPLS) Signaling Functional Description,2003-02-13 23:56:03+00:00,2003,/api/v1/doc/document/draft-ietf-mpls-generalized-signaling/,1,0,10,10,0,0
/api/v1/doc/document/rfc3472/,3472,rfc3472,Generalized Multi-Protocol Label Switching (GMPLS) Signaling Constraint-based Routed Label Distribution Protocol (CR-LDP) Extensions,2003-02-14 00:11:49+00:00,2003,/api/v1/doc/document/draft-ietf-mpls-generalized-cr-ldp/,1,0,8,8,0,0
/api/v1/doc/document/rfc3473/,3473,rfc3473,Generalized Multi-Protocol Label Switching (GMPLS) Signaling Resource ReserVation Protocol-Traffic Engineering (RSVP-TE) Extensions,2003-02-14 00:14:00+00:00,2003,/api/v1/doc/document/draft-ietf-mpls-generalized-rsvp-te/,1,0,10,10,0,0
/api/v1/doc/document/rfc3474/,3474,rfc3474,Documentation of IANA assignments for Generalized MultiProtocol Label Switching (GMPLS) Resource Reservation Protocol - Traffic Engineering (RSVP-TE) Usage and Extensions for Automatically Switched Optical Network (ASON),2003-04-02 22:34:41+00:00,2003,/api/v1/doc/document/draft-lin-ccamp-gmpls-ason-rsvpte/,1,0,5,5,0,0
