publication_year,publishing_unit_id,figure_area,rfc_count,group_acronym,group_name,stream_slug,group_type_slug
2002,wg:/api/v1/group/group/1062/,app,4,ipp,Internet Printing Protocol,ietf,wg
2002,wg:/api/v1/group/group/1339/,app,6,urn,Uniform Resource Names,ietf,wg
2002,wg:/api/v1/group/group/1373/,app,1,ldup,LDAP Duplication/Replication/Update Protocols,ietf,wg
2002,wg:/api/v1/group/group/1395/,app,1,trade,Internet Open Trading Protocol,ietf,wg
2002,wg:/api/v1/group/group/1425/,app,1,impp,Instant Messaging and Presence Protocol,ietf,wg
2002,wg:/api/v1/group/group/1447/,app,1,deltav,Web Versioning and Configuration Management,ietf,wg
2002,wg:/api/v1/group/group/1506/,app,2,ldapbis,LDAP (v3) Revision,ietf,wg
2002,wg:/api/v1/group/group/1530/,app,3,apex,Application Exchange,ietf,wg
2002,wg:/api/v1/group/group/1531/,app,1,provreg,Provisioning Registry Protocol,ietf,wg
2002,wg:/api/v1/group/group/949/,app,1,calsch,Calendaring and Scheduling,ietf,wg
2002,wg:/api/v1/group/group/1138/,art,4,mmusic,Multiparty Multimedia Session Control,ietf,wg
2002,wg:/api/v1/group/group/990/,art,1,ediint,Electronic Data Interchange-Internet Integration,ietf,wg
2002,wg:/api/v1/group/group/1002/,int,2,frnetmib,Frame Relay Service MIB,ietf,wg
2002,wg:/api/v1/group/group/1090/,int,2,mobileip,IP Routing for Wireless/Mobile Hosts,ietf,wg
2002,wg:/api/v1/group/group/1210/,int,3,pppext,Point-to-Point Protocol Extensions,ietf,wg
2002,wg:/api/v1/group/group/1479/,int,4,dnsext,DNS Extensions,ietf,wg
2002,wg:/api/v1/group/group/1544/,int,1,magma,Multicast & Anycast Group Membership,ietf,wg
2002,wg:/api/v1/group/group/1547/,int,2,ipv6,IP Version 6 Working Group,ietf,wg
2002,wg:/api/v1/group/group/988/,int,3,dhc,Dynamic Host Configuration,ietf,wg
2002,wg:/api/v1/group/group/1007/,ops,1,grip,G & R for Security Incident Processing,ietf,wg
2002,wg:/api/v1/group/group/1089/,ops,3,ippm,IP Performance Measurement,ietf,wg
2002,wg:/api/v1/group/group/1174/,ops,1,ngtrans,Next Generation Transition,ietf,wg
2002,wg:/api/v1/group/group/1237/,ops,4,rmonmib,Remote Network Monitoring,ietf,wg
2002,wg:/api/v1/group/group/1291/,ops,9,snmpv3,SNMP Version 3,ietf,wg
2002,wg:/api/v1/group/group/1396/,ops,1,adslmib,ADSL MIB,ietf,wg
2002,wg:/api/v1/group/group/1452/,ops,1,dnsop,Domain Name System Operations,ietf,wg
2002,wg:/api/v1/group/group/977/,ops,1,disman,Distributed Management,ietf,wg
2002,wg:/api/v1/group/group/994/,ops,1,entmib,Entity MIB,ietf,wg
2002,wg:/api/v1/group/group/1374/,rai,1,iptel,IP Telephony,ietf,wg
2002,wg:/api/v1/group/group/1421/,rai,3,sigtran,Signaling Transport,ietf,wg
2002,wg:/api/v1/group/group/1462/,rai,14,sip,Session Initiation Protocol,ietf,wg
2002,wg:/api/v1/group/group/1542/,rai,4,sipping,Session Initiation Proposal Investigation,ietf,wg
2002,wg:/api/v1/group/group/941/,rai,4,avt,Audio/Video Transport,ietf,wg
2002,wg:/api/v1/group/group/1039/,rtg,1,idmr,Inter-Domain Multicast Routing,ietf,wg
2002,wg:/api/v1/group/group/1041/,rtg,2,idr,Inter-Domain Routing,ietf,wg
2002,wg:/api/v1/group/group/1102/,rtg,4,isis,IS-IS for IP Internets,ietf,wg
2002,wg:/api/v1/group/group/1140/,rtg,6,mpls,Multiprotocol Label Switching,ietf,wg
2002,wg:/api/v1/group/group/1469/,rtg,5,l2tpext,Layer Two Tunneling Protocol Extensions,ietf,wg
