rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,earliest_submission_date,earliest_document_time,family_draft_count,maximum_lineage_depth,first_draft_date,date_source,days_to_publication
/api/v1/doc/document/rfc9686/,9686,rfc9686,Registering Self-Generated IPv6 Addresses Using DHCPv6,2024-12-05 23:00:17+00:00,2024,/api/v1/doc/document/draft-ietf-dhc-addr-notification/,2009-10-15 00:00:00+00:00,2012-08-28 16:23:40+00:00,4,2,2009-10-15 00:00:00+00:00,posted_submission,5530
/api/v1/doc/document/rfc9838/,9838,rfc9838,Group Key Management Using the Internet Key Exchange Protocol Version 2 (IKEv2),2025-11-05 21:35:54+00:00,2025,/api/v1/doc/document/draft-ietf-ipsecme-g-ikev2/,2010-03-08 00:00:00+00:00,2019-11-16 11:23:39+00:00,2,1,2010-03-08 00:00:00+00:00,posted_submission,5721
