lineage_id,lineage_root_drafts,lineage_terminal_drafts,lineage_members,lineage_length,branching_lineage,merging_lineage,lineage_revision_count,lineage_first_submission,lineage_last_submission,lineage_activity_duration_days,lineage_activity_duration_years,observation_days,inactivity_days,lineage_became_rfc,rfc_count,rfc_names,first_rfc_publication,publication_outcome,wg_status,wg_count,wg_names,area_names,rq2_clean_single_wg,rfc_streams,rfc_index_wgs,rfc_index_areas,author_count,organisation_count,organisation_names,cross_organisation,affiliation_alias_matched_records,affiliation_multi_organisation_records,affiliation_unmatched_records,affiliation_missing_records,affiliation_non_organisational_records,wg_assignment
draft-yergeau-utf8-rev,draft-yergeau-utf8-rev,draft-yergeau-utf8-rev,draft-yergeau-utf8-rev,1,False,False,0,,,,,,,1,1,rfc2279,1998-01-01 08:00:00+00:00,Successful,No recorded WG,0,,,False,Legacy,,,1,0,,False,0,0,1,0,0,No recorded WG
draft-yeung-icmp-vnet,draft-yeung-icmp-vnet,draft-yeung-icmp-vnet,draft-yeung-icmp-vnet,1,False,False,2,2012-07-09,2013-02-21,227.0,0.621492128678987,5080.0,4853.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,1,1,Cisco,False,1,0,0,0,0,No recorded WG
draft-yeung-netmod-ospf,draft-yeung-netmod-ospf,draft-yeung-netmod-ospf,draft-yeung-netmod-ospf,1,False,False,3,2013-10-21,2014-10-14,358.0,0.9801505817932924,4611.0,4253.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,5,2,Cisco; Juniper Networks,True,4,0,1,0,0,No recorded WG
draft-yevstifeyev-abnf-separated-lists,draft-yevstifeyev-abnf-separated-lists,draft-yevstifeyev-abnf-separated-lists,draft-yevstifeyev-abnf-separated-lists,1,False,False,5,2010-12-05,2010-12-16,11.0,0.0301163586584531,5662.0,5651.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,1,0,,False,0,0,0,1,0,No recorded WG
draft-yevstifeyev-disclosure-relation,draft-yevstifeyev-disclosure-relation,draft-yevstifeyev-disclosure-relation,draft-yevstifeyev-disclosure-relation,1,False,False,3,2011-10-23,2012-01-04,73.0,0.1998631074606434,5340.0,5267.0,1,1,rfc6579,2012-03-27 07:28:00+00:00,Successful,No recorded WG,0,,,False,IETF,NON WORKING GROUP,,1,0,,False,0,0,0,1,0,No recorded WG
draft-yevstifeyev-eudp,draft-yevstifeyev-eudp,draft-yevstifeyev-eudp,draft-yevstifeyev-eudp,1,False,False,9,2010-12-01,2011-04-28,148.0,0.405201916495551,5666.0,5518.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,1,0,,False,0,0,0,1,0,No recorded WG
draft-yevstifeyev-foobar-to-historic,draft-yevstifeyev-foobar-to-historic,draft-yevstifeyev-foobar-to-historic,draft-yevstifeyev-foobar-to-historic,1,False,False,1,2011-07-03,2011-07-03,0.0,0.0,5452.0,5452.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,1,0,,False,0,0,0,1,0,No recorded WG
draft-yevstifeyev-ftp-iri,draft-yevstifeyev-ftp-iri,draft-yevstifeyev-ftp-iri,draft-yevstifeyev-ftp-iri,1,False,False,1,2011-07-14,2011-07-14,0.0,0.0,5441.0,5441.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,1,0,,False,0,0,0,1,0,No recorded WG
draft-yevstifeyev-ftp-uri-scheme,draft-yevstifeyev-ftp-uri-scheme,draft-yevstifeyev-ftp-uri-scheme,draft-yevstifeyev-ftp-uri-scheme,1,False,False,9,2011-05-21,2011-09-24,126.0,0.3449691991786447,5495.0,5369.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,1,0,,False,0,0,0,1,0,No recorded WG
draft-yevstifeyev-genarea-historic,draft-yevstifeyev-genarea-historic,draft-yevstifeyev-genarea-historic,draft-yevstifeyev-genarea-historic,1,False,False,4,2011-01-24,2011-03-02,37.0,0.1013004791238877,5612.0,5575.0,0,0,,,Unsuccessful,No recorded WG,0,,,False,,,,1,0,,False,0,0,0,1,0,No recorded WG
