lineage_id,lineage_members,lineage_length,lineage_revision_count,first_history_date,last_history_date,development_duration_days,development_duration_years,has_rfc,rfc_count,rfc_names,final_drafts,final_draft_names,publication_success,publication_status,success_reason,success_rfc_names,success_final_drafts,recorded_groups,recorded_wgs,recorded_wg_count,has_recorded_wg,has_individual_submissions,individual_members,no_recorded_group_members,first_individual_date,first_recorded_wg_date,first_recorded_wgs,individual_to_wg,time_to_wg_days,filename_wg_candidates,filename_candidate_count,filename_candidate_status,wg_classification,terminal_drafts,terminal_draft_count,terminal_state_slugs,terminal_state_names,terminal_resolution,provisional_outcome,provisional_outcome_reason,publication_outcome,outcome_reason,primary_comparison_sample,has_active_terminal,has_expired_terminal,has_rfc_terminal_state,has_other_terminal_state,multiple_terminal_drafts,estimated_expiry_date,likely_dead_date,post_expiry_inactivity_days,rq2b_group
lineage_005400,draft-davidson-pp-protocol;draft-ietf-privacypass-auth-scheme;draft-ietf-privacypass-http-api;draft-ietf-privacypass-protocol;draft-ietf-privacypass-rate-limit-tokens;draft-pauly-privacypass-auth-scheme;draft-privacypass-rate-limit-tokens;draft-private-access-tokens;draft-svaldez-pp-http-api,9,53,2020-03-09,2024-04-01,1484.0,4.0629705681040384,1,2,RFC9577;RFC9578,draft-ietf-privacypass-auth-scheme-15;draft-ietf-privacypass-protocol-16,draft-ietf-privacypass-auth-scheme;draft-ietf-privacypass-protocol,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC9577;RFC9578,draft-ietf-privacypass-auth-scheme-15;draft-ietf-privacypass-protocol-16,Individual Submissions;Privacy Pass,privacypass,1,1,1,draft-private-access-tokens,,2021-10-25,2020-03-09,privacypass,0,,,0,,Recorded WG,draft-ietf-privacypass-auth-scheme;draft-ietf-privacypass-protocol;draft-ietf-privacypass-rate-limit-tokens,3,expired;rfc,Expired;RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,1,1,0,1,2024-10-01,2026-04-01,613,Excluded ambiguous chronology
lineage_005608,draft-deering-sip;draft-historic-simple-ip,2,5,1992-11-11,2018-09-06,9430.0,25.817932922655714,1,1,RFC8507,draft-historic-simple-ip-03,draft-historic-simple-ip,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC8507,draft-historic-simple-ip-03,Individual Submissions;Simple Internet Protocol,sip-o,1,1,1,draft-historic-simple-ip,,2018-07-17,1992-11-11,sip-o,0,,,0,,Recorded WG,draft-historic-simple-ip,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2019-03-06,2020-09-06,2649,Excluded ambiguous chronology
lineage_006082,draft-dnsop-update-timeout;draft-ietf-dnsop-update-timeout;draft-pusateri-dnsop-update-timeout,3,9,2018-08-24,2020-07-26,702.0,1.9219712525667352,0,0,,,,0,Not published,No mapped published RFC,,,Domain Name System Operations;Individual Submissions,dnsop,1,1,1,draft-dnsop-update-timeout,,2020-05-24,2018-08-24,dnsop,0,,,0,,Recorded WG,draft-ietf-dnsop-update-timeout,1,expired,Expired,Structural replaces relation,Not published - inspect terminal state,No RFC; terminal state retained for classification,Unsuccessful,No RFC; all terminal drafts expired and remained inactive for at least 18 months after expiry,1,0,1,0,0,0,2021-01-26,2022-07-26,1957,Excluded ambiguous chronology
lineage_006363,draft-dsdt-nmda-netconf;draft-ietf-netconf-nmda-netconf;draft-netconf-nmda-netconf,3,12,2017-07-04,2018-10-17,470.0,1.2867898699520877,1,1,RFC8526,draft-ietf-netconf-nmda-netconf-08,draft-ietf-netconf-nmda-netconf,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC8526,draft-ietf-netconf-nmda-netconf-08,Individual Submissions;Network Configuration,netconf,1,1,1,draft-netconf-nmda-netconf,,2017-10-11,2017-07-04,netconf,0,,,0,,Recorded WG,draft-ietf-netconf-nmda-netconf,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2019-04-17,2020-10-17,2607,Excluded ambiguous chronology
lineage_006481,draft-duke-quic-version-aliasing;draft-ietf-quic-version-aliasing,2,12,2020-04-07,2023-04-25,1113.0,3.047227926078029,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions;QUIC,quic,1,1,1,draft-duke-quic-version-aliasing,,2020-04-07,2020-04-07,quic,0,,,0,,Recorded WG,draft-duke-quic-version-aliasing,1,expired,Expired,Structural replaces relation,Not published - inspect terminal state,No RFC; terminal state retained for classification,Unsuccessful,No RFC; all terminal drafts expired and remained inactive for at least 18 months after expiry,1,0,1,0,0,0,2023-10-25,2025-04-25,955,Excluded ambiguous chronology
lineage_006532,draft-dunbar-idr-5g-edge-compute-app-meta-data;draft-dunbar-idr-5g-edge-service-metadata,2,18,2020-11-01,2022-09-19,687.0,1.8809034907597535,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions;Inter-Domain Routing,idr,1,1,1,draft-dunbar-idr-5g-edge-service-metadata,,2022-08-25,2020-11-01,idr,0,,,0,,Recorded WG,draft-dunbar-idr-5g-edge-service-metadata,1,expired,Expired,Structural replaces relation,Not published - inspect terminal state,No RFC; terminal state retained for classification,Unsuccessful,No RFC; all terminal drafts expired and remained inactive for at least 18 months after expiry,1,0,1,0,0,0,2023-03-19,2024-09-19,1175,Excluded ambiguous chronology
lineage_006686,draft-eastlake-dnsext-2929bis;draft-ietf-dnsext-iana-dns,2,4,2000-02-15,2005-06-27,1959.0,5.363449691991787,1,1,RFC2929,draft-ietf-dnsext-iana-dns-01,draft-ietf-dnsext-iana-dns,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC2929,draft-ietf-dnsext-iana-dns-01,DNS Extensions;Individual Submissions,dnsext,1,1,1,draft-eastlake-dnsext-2929bis,,2005-06-21,2000-02-15,dnsext,0,,,0,,Recorded WG,draft-ietf-dnsext-iana-dns,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2005-12-27,2007-06-27,7466,Excluded ambiguous chronology
lineage_006736,draft-eastlake-trill-group-keying;draft-ietf-trill-group-keying,2,15,2016-07-08,2022-11-21,2327.0,6.3709787816564,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions;Transparent Interconnection of Lots of Links,trill,1,1,1,draft-ietf-trill-group-keying,,2017-09-28,2016-07-08,trill,0,,,0,,Recorded WG,draft-ietf-trill-group-keying,1,expired,Expired,Structural replaces relation,Not published - inspect terminal state,No RFC; terminal state retained for classification,Unsuccessful,No RFC; all terminal drafts expired and remained inactive for at least 18 months after expiry,1,0,1,0,0,0,2023-05-21,2024-11-21,1112,Excluded ambiguous chronology
lineage_006807,draft-eddy-idr-flowspec-packet-rate;draft-hares-idr-rfc5575bis;draft-hr-idr-rfc5575bis;draft-ietf-idr-flowspec-packet-rate;draft-ietf-idr-rfc5575bis;draft-loibl-bacher-idr-flowspec-clarification;draft-raszuk-idr-rfc5575bis,7,39,2015-11-23,2020-10-15,1788.0,4.895277207392197,1,1,RFC8955,draft-ietf-idr-rfc5575bis-27,draft-ietf-idr-rfc5575bis,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC8955,draft-ietf-idr-rfc5575bis-27,Individual Submissions;Inter-Domain Routing,idr,1,1,1,draft-hares-idr-rfc5575bis;draft-loibl-bacher-idr-flowspec-clarification;draft-raszuk-idr-rfc5575bis,,2016-06-24,2015-11-23,idr,0,,,0,,Recorded WG,draft-ietf-idr-rfc5575bis,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2021-04-15,2022-10-15,1878,Excluded ambiguous chronology
lineage_006854,draft-eggert-mailflagcolors;draft-eggert-messageflag-mailboxattribute;draft-ietf-mailmaint-messageflag-mailboxattribute;draft-jenkins-mail-keywords,4,18,2024-10-16,2026-01-05,446.0,1.2210814510609171,1,1,RFC9979,draft-ietf-mailmaint-messageflag-mailboxattribute-14,draft-ietf-mailmaint-messageflag-mailboxattribute,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC9979,draft-ietf-mailmaint-messageflag-mailboxattribute-14,Individual Submissions;Mail Maintenance,mailmaint,1,1,1,draft-eggert-messageflag-mailboxattribute,,2024-11-25,2024-10-16,mailmaint,0,,,0,,Recorded WG,draft-ietf-mailmaint-messageflag-mailboxattribute,1,rfc,RFC,Structural replaces relation,Successful,Mapped published RFC,Successful,Mapped to at least one RFC,1,0,0,1,0,0,2026-07-05,2028-01-05,-29,Excluded ambiguous chronology
