lineage_id,lineage_members,lineage_length,lineage_revision_count,first_history_date,last_history_date,development_duration_days,development_duration_years,has_rfc,rfc_count,rfc_names,final_drafts,final_draft_names,publication_success,publication_status,success_reason,success_rfc_names,success_final_drafts,recorded_groups,recorded_wgs,recorded_wg_count,has_recorded_wg,has_individual_submissions,individual_members,no_recorded_group_members,first_individual_date,first_recorded_wg_date,first_recorded_wgs,individual_to_wg,time_to_wg_days,filename_wg_candidates,filename_candidate_count,filename_candidate_status,wg_classification
lineage_008204,draft-garcia-radext-radius-lorawan,1,4,2016-05-30,2017-05-03,338.0,0.9253935660506503,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-radext-radius-lorawan,,2016-05-30,,,0,,radext;radius,2,Ambiguous candidates,Individual / no recorded WG
lineage_008205,draft-garcia-shim6-applicability,1,6,2011-09-01,2012-03-28,209.0,0.5722108145106092,1,1,RFC6629,draft-garcia-shim6-applicability-05,draft-garcia-shim6-applicability,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC6629,draft-garcia-shim6-applicability-05,Internet Area,,0,0,0,,draft-garcia-shim6-applicability,,,,0,,shim6,1,Single candidate,No recorded WG
lineage_008206,draft-garcia-simple-indirect-presence-publish,1,2,2008-02-18,2009-03-06,382.0,1.0458590006844628,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-simple-indirect-presence-publish,,2008-02-18,,,0,,simple,1,Single candidate,Individual / no recorded WG
lineage_008207,draft-garcia-simple-message-exploder,1,1,2004-04-06,2004-04-06,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-simple-message-exploder,,2004-04-06,,,0,,simple,1,Single candidate,Individual / no recorded WG
lineage_008208,draft-garcia-simple-poke,1,2,2008-06-16,2009-02-12,241.0,0.6598220396988365,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-simple-poke,,2008-06-16,,,0,,simple,1,Single candidate,Individual / no recorded WG
lineage_008209,draft-garcia-simple-presence-dictionary,1,7,2006-06-19,2007-08-08,415.0,1.136208076659822,1,1,RFC5112,draft-garcia-simple-presence-dictionary-06,draft-garcia-simple-presence-dictionary,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC5112,draft-garcia-simple-presence-dictionary-06,Real-time Applications and Infrastructure Area,,0,0,0,,draft-garcia-simple-presence-dictionary,,,,0,,simple,1,Single candidate,No recorded WG
lineage_008210,draft-garcia-simple-xcap-directory,1,1,2004-06-09,2004-06-09,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-simple-xcap-directory,,2004-06-09,,,0,,simple,1,Single candidate,Individual / no recorded WG
lineage_008211,draft-garcia-simulcast-and-layered-video-webrtc,1,1,2013-08-05,2013-08-05,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-simulcast-and-layered-video-webrtc,,2013-08-05,,,0,,,0,None,Individual / no recorded WG
lineage_008212,draft-garcia-sip-associated-uri,1,5,2002-04-29,2002-06-05,37.0,0.10130047912388775,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-sip-associated-uri,,2002-04-29,,,0,,sip,1,Single candidate,Individual / no recorded WG
lineage_008213,draft-garcia-sip-called-party-id,1,5,2002-04-29,2002-06-05,37.0,0.10130047912388775,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-sip-called-party-id,,2002-04-29,,,0,,sip,1,Single candidate,Individual / no recorded WG
lineage_008214,draft-garcia-sip-visited-network-id,1,5,2002-04-29,2002-06-05,37.0,0.10130047912388775,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-sip-visited-network-id,,2002-04-29,,,0,,sip,1,Single candidate,Individual / no recorded WG
lineage_008215,draft-garcia-sipping-3gpp-p-headers,1,3,2002-06-25,2002-11-07,135.0,0.36960985626283366,1,1,RFC3455,draft-garcia-sipping-3gpp-p-headers-02,draft-garcia-sipping-3gpp-p-headers,1,Successful,RFCIndex + DataTrackerExt.draft_history_for_rfc,RFC3455,draft-garcia-sipping-3gpp-p-headers-02,Transport Area,,0,0,0,,draft-garcia-sipping-3gpp-p-headers,,,,0,,sipping,1,Single candidate,No recorded WG
lineage_008216,draft-garcia-sipping-3gpp-reqs,1,4,2001-10-11,2002-03-04,144.0,0.3942505133470226,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-sipping-3gpp-reqs,,2001-10-11,,,0,,sipping,1,Single candidate,Individual / no recorded WG
lineage_008217,draft-garcia-sipping-etsi-ngn-p-headers,1,1,2005-07-01,2005-07-01,0.0,0.0,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-sipping-etsi-ngn-p-headers,,2005-07-01,,,0,,sipping,1,Single candidate,Individual / no recorded WG
lineage_008218,draft-garcia-sipping-file-desc-pidf,1,2,2007-06-08,2007-11-16,161.0,0.4407939767282683,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-sipping-file-desc-pidf,,2007-06-08,,,0,,sipping,1,Single candidate,Individual / no recorded WG
lineage_008219,draft-garcia-sipping-file-event-package,1,2,2007-06-08,2007-11-16,161.0,0.4407939767282683,0,0,,,,0,Not published,No mapped published RFC,,,Individual Submissions,,0,0,1,draft-garcia-sipping-file-event-package,,2007-06-08,,,0,,sipping,1,Single candidate,Individual / no recorded WG
